RANK,NAME,POSITION,WAR,G,PA,EPA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/EPA,WRC+,TEAM
15,박민,SS,0.11,7,13,13,13,2,4,2,0,0,6,1,0,0,0,0,0,4,0,0,0,0.308,0.308,0.462,0.77,-0.008,90.9,KIA
16,변우혁,1B,0.06,2,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,-0.032,72.5,KIA
17,소크라테스,LF,0.01,40,175,174,163,25,44,8,0,8,76,29,3,0,10,1,2,24,4,0,1,0.27,0.314,0.466,0.78,0.007,102.3,KIA
18,전상현,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KIA
18,최지민,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KIA
18,곽도규,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KIA
21,황대인,1B,-0.02,3,7,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.715,-0.029,74.8,KIA
22,김규성,2B,-0.07,6,4,4,2,1,1,1,0,0,2,2,0,0,2,0,0,1,0,0,0,0.5,0.75,1.0,1.75,0.327,345.7,KIA
23,한승택,C,-0.13,4,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.034,122.6,KIA
24,나성범,RF,-0.22,9,34,34,25,1,2,1,0,0,3,0,0,0,9,0,0,12,0,0,0,0.08,0.324,0.12,0.444,-0.077,38.1,KIA
1,박민우,2B,2.09,37,170,165,143,21,43,7,1,1,55,13,16,3,18,6,3,27,1,2,1,0.301,0.399,0.385,0.784,0.026,116.1,NC
2,박건우,RF,1.8,38,153,151,134,25,48,10,1,3,69,19,2,0,18,1,2,27,1,0,0,0.358,0.438,0.515,0.953,0.075,152.9,NC
3,권희동,LF,1.64,39,164,164,128,21,33,9,1,1,47,21,1,0,28,5,0,22,1,0,3,0.258,0.402,0.367,0.769,0.018,110.8,NC
4,김주원,SS,1.08,40,136,131,111,15,23,4,1,3,38,15,5,1,14,5,0,42,0,5,1,0.207,0.321,0.342,0.663,-0.036,70.7,NC
5,김형준,C,0.91,33,133,132,111,18,27,4,0,8,55,22,0,0,20,1,0,47,3,1,0,0.243,0.364,0.495,0.859,0.017,109.6,NC
6,데이비슨,1B,0.7,32,141,141,121,23,32,8,0,8,64,27,0,1,13,6,0,39,2,0,1,0.264,0.362,0.529,0.891,0.042,128.7,NC
7,김성욱,CF,0.53,39,145,145,126,23,25,5,0,7,51,24,5,1,14,5,0,31,4,0,0,0.198,0.303,0.405,0.708,-0.019,82.5,NC
8,서호철,3B,0.52,40,167,166,145,19,44,5,0,2,55,25,1,2,16,4,0,34,7,1,1,0.303,0.386,0.379,0.765,0.012,106.3,NC
9,손아섭,DH,0.46,39,178,178,170,24,51,8,0,3,68,29,6,1,7,0,0,34,0,0,1,0.3,0.326,0.4,0.726,-0.005,93.1,NC
10,최정원,2B,0.27,22,48,47,37,11,9,0,0,0,9,4,3,0,7,2,0,14,1,1,1,0.243,0.383,0.243,0.626,-0.029,75.3,NC
11,오영수,3B,0.24,13,25,25,22,3,5,0,0,2,11,3,0,0,1,1,0,5,0,0,1,0.227,0.28,0.5,0.78,0.005,100.8,NC
12,박세혁,C,0.22,22,46,44,38,3,10,3,0,0,13,2,1,0,5,1,0,13,0,2,0,0.263,0.364,0.342,0.706,-0.007,92.0,NC
13,김한별,SS,0.07,18,31,31,27,6,10,1,0,0,11,2,0,0,1,3,0,7,0,0,0,0.37,0.452,0.407,0.859,0.045,130.8,NC
14,박영빈,CF,0.07,6,3,3,3,1,1,1,0,0,2,0,2,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.0,0.057,139.9,NC
15,김수윤,1B,0.03,4,6,6,5,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0.2,0.333,0.2,0.533,-0.064,47.8,NC
16,한재승,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,NC
17,김세훈,2B,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,NC
18,도태훈,3B,-0.02,23,33,33,27,3,4,2,0,0,6,2,0,0,3,2,0,6,1,0,1,0.148,0.273,0.222,0.495,-0.089,29.3,NC
19,천재환,CF,-0.48,29,50,48,44,8,13,2,1,1,20,8,3,0,2,2,0,8,3,2,0,0.295,0.354,0.455,0.809,0.003,99.2,NC
,로하스,RF,2.17,42,194,192,160,30,45,12,0,10,87,28,0,1,31,2,2,41,4,0,1,0.281,0.402,0.544,0.946,0.063,144.6,KT
,문상철,1B,2.06,35,121,121,102,18,35,2,0,8,61,19,2,0,15,3,1,24,4,0,1,0.343,0.438,0.598,1.036,0.111,181.7,KT
,강백호,RF,1.86,42,196,196,183,33,63,11,0,12,110,41,0,2,10,1,0,36,1,0,2,0.344,0.378,0.601,0.979,0.08,157.6,KT
,장성우,C,1.0,39,135,135,117,12,32,4,0,4,48,21,0,0,16,0,0,22,1,0,2,0.274,0.356,0.41,0.766,-0.004,94.0,KT
,신본기,SS,0.76,24,44,42,33,6,10,1,0,2,17,7,1,0,8,0,0,8,1,2,1,0.303,0.429,0.515,0.944,0.064,143.4,KT
,천성호,2B,0.46,42,190,189,177,34,57,7,3,1,73,16,4,0,10,1,0,30,4,1,1,0.322,0.36,0.412,0.772,0.012,105.8,KT
,김상수,SS,0.34,34,121,117,107,18,27,6,1,2,41,18,2,0,7,2,0,14,4,4,1,0.252,0.308,0.383,0.691,-0.019,83.2,KT
,조대현,C,0.23,7,9,8,6,0,3,0,0,0,3,0,0,0,2,0,0,2,0,1,0,0.5,0.625,0.5,1.125,0.173,214.6,KT
,김병준,LF,0.17,23,10,10,8,7,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0.375,0.5,0.375,0.875,0.058,141.0,KT
,김준태,C,0.15,12,18,18,17,4,5,1,0,0,6,1,0,0,1,0,0,4,0,0,0,0.294,0.333,0.353,0.686,-0.029,74.9,KT
,황재균,3B,0.11,41,165,162,149,15,36,5,0,0,41,10,3,1,13,0,0,26,5,3,0,0.242,0.302,0.275,0.577,-0.068,46.4,KT
,박경수,2B,0.08,5,3,3,3,2,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.0,1.667,0.355,367.4,KT
,김민혁,LF,0.03,32,100,100,91,8,29,3,0,0,32,16,1,0,8,0,0,10,2,0,1,0.319,0.37,0.352,0.722,0.0,97.1,KT
,오윤석,2B,0.02,5,6,6,5,1,1,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0.2,0.333,0.2,0.533,-0.065,47.2,KT
,장준원,3B,-0.05,5,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,-0.11,13.0,KT
,송민섭,RF,-0.08,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.297,-129.0,KT
,김건형,LF,-0.14,8,22,22,21,1,3,1,0,0,4,1,0,0,1,0,0,8,0,0,0,0.143,0.182,0.19,0.372,-0.08,35.7,KT
,홍현빈,CF,-0.14,4,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0.333,0.0,0.333,-0.088,29.5,KT
,안치영,RF,-0.2,18,38,36,35,8,8,0,0,0,8,3,0,1,1,0,0,10,0,2,0,0.229,0.25,0.229,0.479,-0.1,24.8,KT
,배정대,CF,-0.31,14,68,68,62,6,18,3,0,1,24,9,3,2,4,0,0,20,0,0,2,0.29,0.324,0.387,0.711,-0.023,79.6,KT
,정준영,LF,-0.34,10,16,15,12,3,1,0,0,0,1,0,0,0,3,0,0,3,0,1,0,0.083,0.267,0.083,0.35,-0.065,50.6,KT
,조용호,LF,-0.34,34,105,104,98,12,25,3,0,0,28,8,3,0,6,0,0,20,3,1,0,0.255,0.298,0.286,0.584,-0.057,53.9,KT
,이호연,2B,-0.39,16,24,24,23,2,4,0,0,0,4,0,0,0,1,0,0,7,2,0,0,0.174,0.208,0.174,0.382,-0.152,-18.8,KT
,박병호,1B,-0.47,37,100,100,86,7,17,1,0,3,27,10,1,0,11,3,0,32,8,0,0,0.198,0.31,0.314,0.624,-0.041,65.6,KT
1,김혜성,2B,2.18,,153,153,140,25,40,4,1,7,67,24,8,1,11,2,0,14,1,0,0,0.286,0.346,0.479,0.825,0.028,118.4,KW
2,도슨,LF,1.61,,179,179,160,28,56,12,2,6,90,23,1,2,16,2,0,26,2,0,1,0.35,0.413,0.563,0.976,0.081,158.8,KW
3,송성문,3B,1.01,,143,143,126,16,34,4,1,6,58,25,0,0,13,1,0,17,2,0,3,0.27,0.336,0.46,0.796,0.013,106.9,KW
4,이형종,RF,0.94,,87,87,71,18,19,3,0,4,34,17,1,0,15,1,0,17,0,0,0,0.268,0.402,0.479,0.881,0.061,143.6,KW
5,이주형,CF,0.68,,49,49,46,10,17,3,1,1,25,3,0,0,3,0,0,10,0,0,0,0.37,0.408,0.543,0.951,0.091,166.2,KW
6,이용규,LF,0.67,,100,98,83,12,26,3,0,1,32,5,1,1,12,2,0,17,0,2,1,0.313,0.408,0.386,0.794,0.026,116.1,KW
7,고영우,3B,0.42,,70,70,64,7,24,4,0,0,28,7,0,0,6,0,0,17,0,0,0,0.375,0.429,0.438,0.867,0.052,136.4,KW
8,변상권,CF,0.35,,56,56,52,3,14,1,0,2,21,9,0,0,3,0,0,14,2,0,1,0.269,0.304,0.404,0.708,-0.01,89.4,KW
9,주성원,RF,0.06,,44,43,39,6,9,1,0,1,13,5,0,0,4,0,0,14,2,1,0,0.231,0.302,0.333,0.635,-0.023,80.0,KW
10,송지후,2B,0.04,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.539,507.6,KW
11,김시앙,C,0.03,,6,6,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,-0.193,-50.0,KW
12,김주형,SS,0.03,,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.5,0.0,0.5,0.036,124.4,KW
13,김재웅,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KW
13,김연주,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KW
13,김윤하,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KW
13,문성현,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KW
13,주승우,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KW
18,김휘집,SS,-0.02,,156,154,138,19,33,7,1,4,54,23,0,0,12,3,1,43,9,1,2,0.239,0.31,0.391,0.701,-0.026,77.3,KW
19,김동헌,C,-0.09,,7,7,5,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.2,0.429,0.2,0.629,0.001,97.3,KW
20,박성빈,C,-0.1,,9,9,8,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.125,0.222,0.125,0.347,-0.153,-19.6,KW
21,김웅빈,1B,-0.1,,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0.0,-0.309,-78.7,KW
22,이승원,2B,-0.12,,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0.0,-0.321,-98.2,KW
23,김태진,3B,-0.19,,14,14,14,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.214,0.214,0.214,0.428,-0.141,-10.4,KW
24,박준형,C,-0.26,,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,-0.314,-142.0,KW
25,이재상,SS,-0.31,,26,26,26,3,6,1,0,1,10,3,0,0,0,0,0,8,0,0,0,0.231,0.231,0.385,0.616,-0.096,23.9,KW
26,김재현,C,-0.36,,124,122,112,13,26,7,0,0,33,11,0,0,3,4,0,29,4,2,3,0.232,0.27,0.295,0.565,-0.077,38.9,KW
27,이원석,1B,-0.54,,81,81,68,5,16,3,0,0,19,6,0,0,10,1,0,11,1,0,2,0.235,0.333,0.279,0.612,-0.049,59.5,KW
28,박수종,CF,-0.59,,37,37,34,5,6,0,0,0,6,2,0,0,2,1,0,1,1,0,0,0.176,0.243,0.176,0.419,-0.128,-0.7,KW
29,예진원,CF,-0.61,,21,21,19,2,4,1,0,0,5,0,0,0,2,0,0,8,1,0,0,0.211,0.286,0.263,0.549,-0.084,32.5,KW
